raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
"METAR KVDI 201516Z AUTO VRB04KT 10SM CLR 17/03 A3023 RMK AO2",KVDI,2026-03-20T15:16:00.000Z,32.1933,-82.3642,17,3,0,4,,10+,30.23,,,TRUE,TRUE,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,81
"METAR K1V6 201516Z AUTO 28015G23KT 10SM CLR 19/M08 A3027 RMK AO1",K1V6,2026-03-20T15:16:00.000Z,38.4256,-105.1048,19,-8,280,15,23,10+,30.27,,,TRUE,TRUE,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,1658
"METAR KU55 201515Z AUTO 17004KT 10SM CLR 05/M07 A3047 RMK A01",KU55,2026-03-20T15:15:00.000Z,37.8511,-112.3912,5,-7,170,4,,10+,30.47,,,TRUE,TRUE,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,2060
"METAR KMKS 201515Z AUTO 19003KT 10SM CLR 16/06 A3023 RMK AO2",KMKS,2026-03-20T15:15:00.000Z,33.1874,-80.0363,16,6,190,3,,10+,30.23,,,TRUE,TRUE,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,22
"METAR KVTI 201515Z AUTO 32008KT 10SM CLR 15/06 A2987 RMK AO2 T01470056",KVTI,2026-03-20T15:15:00.000Z,42.2176,-92.0249,14.7,5.6,320,8,,10+,29.87,,,TRUE,TRUE,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,256
"METAR K3N8 201515Z AUTO 36003KT M1/4SM FG OVC003 01/01 A2995 RMK AO2 T00050005",K3N8,2026-03-20T15:15:00.000Z,47.2600,-95.9280,0.5,0.5,360,3,,0.25,29.95,,,TRUE,TRUE,,,,,,FG,OVC,300,,,,,,,LIFR,,,,,,,,,,,,METAR,379
"METAR K2R9 201515Z AUTO 23010KT 10SM CLR 22/15 A3015 RMK AO2",K2R9,2026-03-20T15:15:00.000Z,28.8267,-97.8676,22,15,230,10,,10+,30.15,,,TRUE,TRUE,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,88
"METAR K22N 201515Z AUTO 00000KT 10SM CLR 09/01 A3002 RMK AO2",K22N,2026-03-20T15:15:00.000Z,40.8115,-75.7648,9,1,0,0,,10+,30.02,,,TRUE,TRUE,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,159
"METAR K21D 201515Z AUTO 36004KT 10SM OVC010 07/05 A2991 RMK AO2",K21D,2026-03-20T15:15:00.000Z,45.0002,-92.8549,7,5,360,4,,10+,29.91,,,TRUE,TRUE,,,,,,,OVC,1000,,,,,,,MVFR,,,,,,,,,,,,METAR,281
"METAR K14Y 201515Z AUTO 02004KT 10SM BKN110 06/03 A2992 RMK AO2",K14Y,2026-03-20T15:15:00.000Z,45.9017,-94.8727,6,3,20,4,,10+,29.92,,,TRUE,TRUE,,,,,,,BKN,11000,,,,,,,VFR,,,,,,,,,,,,METAR,404
"METAR KSNL 201515Z AUTO 21006KT 10SM CLR 22/09 A3000 RMK AO2 T02230087",KSNL,2026-03-20T15:15:00.000Z,35.3611,-96.9445,22.3,8.7,210,6,,10+,30.00,,,TRUE,TRUE,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,327
"METAR KSMS 201515Z AUTO 00000KT 10SM CLR 18/05 A3023 RMK AO2 PWINO",KSMS,2026-03-20T15:15:00.000Z,34.0003,-80.3582,18,5,0,0,,10+,30.23,,,TRUE,TRUE,,,,,TRUE,,,,,,,,,,VFR,,,,,,,,,,,,METAR,53
"METAR KSMD 201515Z AUTO 24014G20KT 10SM FEW100 16/07 A2981 RMK A01",KSMD,2026-03-20T15:15:00.000Z,41.1440,-85.1492,16,7,240,14,20,10+,29.81,,,TRUE,TRUE,,,,,,,FEW,10000,,,,,,,VFR,,,,,,,,,,,,METAR,252
"METAR KSOW 201515Z AUTO 00000KT 10SM CLR 16/M10 A3039 RMK AO2",KSOW,2026-03-20T15:15:00.000Z,34.2686,-110.0019,16,-10,0,0,,10+,30.39,,,TRUE,TRUE,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,1954
"METAR K13K 201515Z AUTO 20004KT 10SM CLR 22/09 A2997 RMK AO2 T02170095",K13K,2026-03-20T15:15:00.000Z,37.8519,-96.2929,21.7,9.5,200,4,,10+,29.97,,,TRUE,TRUE,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,367
"METAR K04W 201515Z AUTO 36007KT 10SM CLR 08/04 A2991 RMK AO2",K04W,2026-03-20T15:15:00.000Z,46.0244,-92.8991,8,4,360,7,,10+,29.91,,,TRUE,TRUE,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,310
"METAR KBTN 201515Z AUTO 00000KT 10SM CLR 07/05 A2993 RMK AO2",KBTN,2026-03-20T15:15:00.000Z,45.8186,-97.7457,7,5,0,0,,10+,29.93,,,TRUE,TRUE,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,400
"METAR KSLR 201515Z AUTO 20013KT 10SM CLR 21/12 A3007 RMK AO2 T02090120 PWINO",KSLR,2026-03-20T15:15:00.000Z,33.1615,-95.6189,20.9,12,200,13,,10+,30.07,,,TRUE,TRUE,,,,,TRUE,,,,,,,,,,VFR,,,,,,,,,,,,METAR,144
